'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-04-01',,'Savanoriø sankr.','Pastebëta vaþiuojant','Kuro dëmës vaþ. dalyje','','Vytautas Andruðkevièius','Sunaudojus 5ltr. skysto sorbento kuras neutralizuotas. ','','2017-04-01','09:15'
2,'2017-04-01','00:50','Verkiø sankr.','BPC','Vaþ dalyjeb duobës','El. paðtu UAB "Gatviø statyba"','Vytautas Andruðkevièius','Dvi (0,5x0,5x0,1); (0,5x0,5x0,16) avarinës duobës uþtaisytos skaldos smëlio miðiniu. Sunaudota po 0,03m3. Info perduota','','2017-04-01','01:20'
22,'2017-04-01','13:25','Tûkstantmeèio link Dariaus ir Girëno g. ','BPC','Vaþ. dalyje 2-oje eismo juostoje didelë plyta ','','Vytautas Andruðkevièius','Ties iðvaþiavimu á Dariaus ir Girëno g. paimtas polistirolo gabalas, iðveþtas','','2017-04-01','13:55'
23,'2017-04-01','13:40','Þirniø 28A','Pastebëta vaþiuojant','Vaþ. dalyje katino gaiðenos liekanos ','','Vytautas Andruðkevièius','Surinktos, iðveþtos á BGST','','2017-04-01','13:45'
24,'2017-04-01','17:45','Birbyniø sankr.','Pastebëta vaþiuojant','Vaþ. dalyje stiklo ðukës  ','','Vytautas Andruðkevièius','Surinktos, iðveþtos','','2017-04-01','17:50'
25,'2017-04-01','18:00','Jasinskio J. 16','Pastebëta vaþiuojant ','Vaþ. dalyje automobilio karterio dugno apsuga, stiklo ðukës, kuro dëmës','','Vytautas Andruðkevièius','Sunaudojus 2ltr. skysto sorbento kuras neutralizuotas. Dugno apsaugapaimta, ðukës surinktos, iðveþta','','2017-04-01','18:10'
26,'2017-04-01','18:01','Batoro 23','Pastebëta vaþiuojant','Uþneðtas trapas vaþ. dalyje','','Vytautas Andruðkevièius','Ið LN trapo grotelû iðvalytos sànaðos, iðveþtos','','2017-04-01','18:05'
27,'2017-04-01','18:15','Kojelavièiaus A.V. 1','Pastebëta vaþiuojant','Vaþ dalyje nulûþusi medþio ðaka','','Vytautas Andruðkevièius','Supjauta, iðveþta ','','2017-04-01','18:30'
28,'2017-04-01','18:20','Vilniaus sankr.','Pastebëta vaþiojant','Labiau Tilto g. vaþ dalyje uþneðtas trapas','','Vytautas Andruðkevièius','Ið LN trapo grotelø iðvalytos sànaðos, iðveþtos','','2017-04-01','18:25'
29,'2017-04-01','18:30','Rinktinës 45','Pastebëta vaþiuojant','Prie remontuojamos gatvës atkarpos nuverstos trys vertikalios gairës','','Vytautas Andruðkevièius','Pakeltos , pastatytos á vietas.','','2017-04-01','18:33'
30,'2017-04-01','18:38','Kalvarijø 185','Pastebëta vaþiuojant','Skiriamoje þeldiniø juostoje padanga','','Vytautas Andruðkevièius','Paimta , iðveþta','','2017-04-01','18:40'
31,'2017-04-01','18:40','Ðiaurës 127','Pastebëta vaþiuojant','Vaþ. dalyje plastiko gabalai','','Vytautas Andruðkevièius','Surinkti , iðveþti','','2017-04-01','18:45'
32,'2017-04-01','18:43','Kalvarijø 229','Pastebëta vaþiuojant','Ðalikelëje katino gaiðena','','Vytautas Andruðkevièius','Paimta, iðveþta á BGST ','','2017-04-01','18:47'
33,'2017-04-01','18:45','Molëtø uþ NESTE degalinës apie  100m','Jolanta','Vaþ dalyje katino gaiðena','','Vytautas Andruðkevièius','Paimta , iðveþta Á BGST','','2017-04-01','19:05'
34,'2017-04-01','18:50','Baltupio iðvaþiavimas á Geleþinio vilko g.','Pastebëta vaþiuojant','Vaþ dalyje katino gaiðena','','Vytautas Andruðkevièius','Paimta iðveþta á BGST','','2017-04-01','18:55'
35,'2017-04-01','18:55','Plytinës þiedinë sankr.','Pastebëta vaþiuojant','Vaþ.dalyje plytø lauþas','','Vytautas Andruðkevièius','Surinktas, iðveþtas','','2017-04-01','19:00'
36,'2017-04-01','19:05','Plytinës apie 100m uþ VVtr. Dvarèioniø kryþkelë st. ','Pastebëta vaþiuojant','Atviras ðulinys þeldiniø zonoje vaþiuojant link Saulëtekio al.','Áraðas PNT tarnybai R. Zaborovskiui','Vytautas Andruðkevièius','LN ðulinys uþdengtas nauju gb. dangèiu. Pilni keturi ðuliniai ir visi trapai abipus gatvës. Info perduota','','2017-04-01','19:20'
37,'2017-04-01','19:20','Galvës ties VVtr. Vilijos st.','BPC duobës','Vaþ . dalyje duobës link Savanoriø pr.','El. paðtu I. Rinkevièiui','Vytautas Andruðkevièius','Dvi avarinës (0,8x0,40x0,08); (0,8x0,60x0,12) duobës uþtaisytos skaldos - smëlio miðiniu. Sunaudota po 0,04m3. Info perduota','','2017-04-01','20:05'
38,'2017-04-01','19:35','Liepkalnio 77','Rita ','Vaþ dalyje katino gaiðena','','Vytautas Andruðkevièius','Paimta iðveþta á BGST','','2017-04-01','19:45'
39,'2017-04-01','19:47','Þirniø 12','Pastebëta vaþiuojant','Vaþ.  dalyje kilimo gabalas ','','Vytautas Andruðkevièius','Sintetinio kilimo atraiþa paimta, iðveþta','','2017-04-01','19:50'
40,'2017-04-01','21:35','Juodasis kelias 46','BPC ','Vaþ .dalyje duobë','El.paðtu I. Rinkevièiui','Vytautas Andruðkevièius','Avarinë (1,0x0,6x0,12) duobë uþtaisyta skaldos - smëlio miðiniu. Sunaudota po 0,035m3. Info perduota ','','2017-04-01','22:15'
41,'2017-04-01','21:40','Pagojuko 9','PGT','Paimti sutinkto termometro gyvsidabrá','','Vytautas Andruðkevièius','Paimtas, iðveþtas utilizavimui','','2017-04-01','22:20'
42,'2017-04-01','22:30','Kernavës ávaþiavimas ið Ozo g. link Compensa koncerø salës','VPK','Vaþ. dalyje duobës','El.paðtu V. Kastunoviè','Vytautas Andruðkevièius','Dvi (0,5x0,5x0,08); (6,0x0,2x0,05) avarinës duobës uþtaisytos skaldos - smëlio miðiniu. Sunaudota po 0,04m3. Info perduota ','','2017-04-01','23:20'
