'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
17,'2017-04-09','13:45','Akademijos 7','Pastebëta vaþiuojant','Praviras ðulinys þeldiniø zonoje','','Vytautas Andruðkevièius','Ðulinys atviras. LN ðulinys uþdengtas buvusiu gelþbetoniniu dangèiu.','','2017-04-09','13:50'
18,'2017-04-09','13:45','Povilaièio A.J. 8','Pastebëta vaþiuojant','Vaþ. dalyje ðiukðliø konteineris ir iðbarsytos ðiukðlës','','Vytautas Andruðkevièius','Kliûtys. Konteineris pastatytas á vietà. Ðiukðlës surinktos á konteinerá.','','2017-04-08','13:55'
19,'2017-04-09','13:55','Medeinos 23','Áraðas 2017.03.04','Patikrinti ar vykdomi darbai','','Vytautas Andruðkevièius','Kiti darbai. darbai atlikti, tvoreles paëmëme. ','','2017-04-09','14:10'
20,'2017-04-09','14:05','Geleþinio vilko iðvaþiavimas á Ateities g. ties PC "MOKVEÞA"','Pastebëta vaþiuojant','Vaþ. dalyje tepalai ','','Vytautas Andruðkevièius','Absorbentai. Sunaudojus 5kg. sauso sorbento, tepalai surinkti , iðveþti.','','2017-04-09','14:15'
21,'2017-04-09','14:22','Virðuliðkiø 25','Pastebëta vaþiuojant','Vaþ dalyje stiklo ðukës','','Vytautas Andruðkevièius','Kliûtys. Stlklai surinkti, iðveþti','','2017-04-09','14:30'
22,'2017-04-09','14:30','Baltupio sankr. ','Pastebëta vaþiuojant','Vaþ. dalyje stiklo ðukës','','Vytautas Andruðkevièius','Kliûtys. Srinktos,iðveþtos.','','2017-04-09','14:40'
23,'2017-04-09','14:45','Vytenio 55','Pastebëta vaþiuojant','Vaþ dalyje sulauþytos trapo grotelës','','Vytautas Andruðkevièius','Trapas atviras. LN trapo grotelës (55x38) pakeistos naujomis.','','2017-04-09','14:50'
24,'2017-04-09','14:50','Kalvarijø 166A','Pastebëta vaþiuojant','Vaþ. dalyje automobilio salono kilimëlis','','Vytautas Andruðkevièius','Kliûtys. Sintetinis kilimëlis paimtas,iðveþtas.','','2017-04-09','14:55'
25,'2017-04-09','14:52','Vytenio 59','Pastebëta vaþiuojant','Vaþ.  dalyje betono gabalas','','Vytautas Andruðkevièius','Kliûtys. Paimtas, iðveþtas','','2017-04-09','14:55'
26,'2017-04-09','15:05','Goðtauto ties Jasinskio g.16A link Vingio parko','Pastebëta vaþiuojant','Á vaþ. dalá nuvirtæ dvi vertikalios gairës.','','Vytautas Andruðkevièius','Kiti darbai. Pastatytos á vietas.','','2017-04-09','15:10'
27,'2017-04-09','16:20','Liepkalnio 31A, sankr.','BPC ','Vaþ.  dalyje duobë','El. paðtu I. Rinkevièiui','Vytautas Andruðkevièius','Duobës. Avarinë duobë (0,3x0,3x0,07) uþtaisyta smëlio - skaldos miðiniu. Sunaudota po0,0035m3. Info perduota .','','2017-04-09','16:35'
28,'2017-04-09','16:30','Franko tarp 16 - 10 namø prie garaþø','Valiûnas','Atviras  ðulinys','','Vytautas Andruðkevièius','Ðulinys atviras. Neþinomos paskirties gilus, sausas ðulinys privaèioje valdoje uþdengtas gelþbetoniniu dangèiu. ','','2017-04-09','17:30'
29,'2017-04-09','16:40','Dzûkø 14','Pastebëta vaþiuojant','Vaþ dalyje eþiuko gaiðena','','Vytautas Andruðkevièius','Gyvûnai. Paimta iðveþta á BGST','','2017-04-09','16:45'
30,'2017-04-09','17:20','Batoro nuo VVtr. Ðaudyklos st. link Olandø g.','Volodia','Vaþ.  dalyje lapë ','','Vytautas Andruðkevièius','Kiti darbai. Nurodytoje vietoje ir jos prieigose jokio gyvûno nerasta.','','2017-04-09','18:00'
31,'2017-04-09','17:38','Batoro apie 200m uþ VVtr.Ðaudykla st.link N. Vilnios ','Pastebëta vaþiuojant','Ðalikelëje katino gaiðena','','Vytautas Andruðkevièius','Gyvûnai. Paimta iðveþta á BGST','','2017-04-09','17:40'
32,'2017-04-09','17:45','Skersinës tarp santariðkiø g. ir Molëtø pl.','Pastebëta vaþiuojant','Miðko vaþ.  dalyje ðakos','','Vytautas Andruðkevièius','Medþiai, ðakos. Surinko, iðveþë ','','2017-04-09','17:45'
33,'2017-04-09','18:50','Savanoriø 139D','VVtr. disp. Ana ','Vaþ. dalyje atviras ðulinys','VV av. disp Auksei tel.861611256','Vytautas Andruðkevièius','Ðulinys atviras. Atviras VV ðulinys uþdengtas manevriniu dangèiu, pastatyta vertikli gairë. Info perduota','','2017-04-09',''
34,'2017-04-09','20:42','Konarskio S. 49','Pastebëta vaþiuojant','Vaþ. dalyje rato gaubtas','','Vytautas Andruðkevièius','Kliûtys. Paimtas, iðveþtas','','2017-04-09','20:45'
35,'2017-04-09','20:50','Geleþinio vilko tunelyje link Edukologijos universiteto','Pastebëta vaþiuojant','Vaþ .dalyje skardos gabalas ir rato gaubtas','','Vytautas Andruðkevièius','Kliûtys. Paimta, iðveþta. ','','2017-04-09','20:53'
36,'2017-04-09','21:25','Kalvarijø 168','Pastebëta vaþiuojant','Vaþ. dalyje A eismo juostoje vertikali gairë','','Vytautas Andruðkevièius','Kliûtys. Sulauþyta vertikali gairë patraukta ant remontuojamo ðaligatvio prie betoninio pado. ','','2017-04-09','21:28'
37,'2017-04-09','21:35','Oslo uþ Lazdynø pësèiøjø tilto link Tûkstantmeèio g   g','BPC ','Vaþ. dalyje padanga','','Vytautas Andruðkevièius','Padangos. Paimta, iðveþta','','2017-04-09','21:45'
38,'2017-04-09','21:50','Justiniðkiø 30-5','PGT','Paimti surinkto termometro gyvsidabrá','','Vytautas Andruðkevièius','Gyvsidabris. Paimtas, iðveþtas utilizavimui.','','2017-04-09','22:05'
39,'2017-04-09','22:00','Sëliø 18- 6','PGT','Paimti surinktà termometro gyvsidabrá','','Vytautas Andruðkevièius','Gyvsidabris. Paimtas, iðveþtas utilizavimui.','','2017-04-09','22:20'
