'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-02-21','07:20','Grybo V. 17','BPC','Pilnas kanalizacijos ðulinys.','Vandentiekio avarinë tel. 1889','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-21','07:30'
16,'2017-02-21','09:25','Geleþinio vilko','vaþiuojant pastebëta.','Duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-21','09:36'
17,'2017-02-21','09:40','Gabijos 23','Algis','Uþsikimðæs LN  ðulinys.','LN tarnyba R. Zabarovskis','Alvydas Biliûnas','Rankiniu bûdu pravalyti negalima. Ánformacijà perduota.','','2017-02-21','10:54'
18,'2017-02-21','10:00','Batoro St. Srovës.','','Prie stotelës ir uþ stotelës apie 25m ir 1m ploèio  apie 15cm storio ledas vaþ. dalyje.','Igoris Rinkevièius  tel.861149924 Projektø vadovas.','Alvydas Biliûnas','Ánformacijà perduota. reikalinga spec. technika atlikti darbams.','','2017-02-21',''
19,'2017-02-21','10:40','Dariaus ir Girëno 81','BPC','Vaþiuojamoje dalyje plytø duþenos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-21','11:11'
20,'2017-02-21','11:00','Skapo S. 7','El. paðtas  G. Niaura','Ið gatvës viena gëlinæ iðveþti kita patraukti á gatvës vidurá.','El. paðtas G. Niaura','Alvydas Biliûnas','Darbai atlikti: Viena gëlinë iðveþta á UAB"Grinda" kita patraukta á gatvës vidurá.','','2017-02-21','12:30'
21,'2017-02-21','11:00','Dobkevièiaus J. 6A','BPC','Praviras ðulinys vaþiuojamomje dalyje.','','Alvydas Biliûnas','Ðulinio korpusas iðvalytas dangtis ástatytas á vieta laikosi stabiliai.','','2017-02-21','11:35'
22,'2017-02-21','11:25','Virðupio Ðilo sank.','Policija','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,4m3)','','2017-02-21','12:10'
23,'2017-02-21','11:40','Broliø 7','Dispeèerë Mano bûstas.','Uþsikinðæs LN ðulinys stovi vanduo.','LN tarnyba R. Zabarovskis','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-21','11:40'
24,'2017-02-21','12:15','Kazliðkiø 19','','Uþsikimðæs LN ðulinys kiemæ stovi vanduo.','LN tarnyba R. Zabarovskis','Alvydas Biliûnas','Ánformacijà perduota. (áraðas þurnale)','','2017-02-21',''
25,'2017-02-21','14:00','Uþpaliø g. 68 (Balsiai)','Balèiûnienë','Suduþo termometras.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-21','16:10'
26,'2017-02-21','14:15','Meistrø 12','BPC','Duþenos statybinës vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos ,iðveþtos.','','2017-02-21','14:52'
27,'2017-02-21','14:20','Minsko pl.','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (1m3)','','2017-02-21','15:22'
28,'2017-02-21','15:00','Pirkliø','El. paðtas G. Niaura','Patvarkyti vaþiuojamajà gatvës dalá.','','Alvydas Biliûnas','Iðtrupëjæs asfaltas surinktas, iðveþtas prie duobës vaþiuojamoje dalyje pastatyta vert. gairë.reikalinga duobë uþasfaltuoti.','','2017-02-21','15:42'
29,'2017-02-21','15:40','Ðiaurës Uosiø stotelë','BPC','Vaþiuojamoje dalyje asfalto prasëdimas.','Vandentiekio avarinë tel 1889 Saugirdas.','Alvydas Biliûnas','Prasëdimas virð vandentiekio linijos pastatytos vertikalios gairës (3vnt)','','2017-02-21','16:45'
30,'2017-02-21','16:15','Minsko pl. Liepkalnio sank.','Pastebëta vaþiuojant.','Metalo gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-21','16:22'
31,'2017-02-21','16:22','Þaliøjø eþerø St. (Verkiø rûmai)','Pastebëta vaþiuojant.','Ant vaþiuojamos dalies medþio ðaka.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-21','16:25'
32,'2017-02-21','16:30','Geleþinio vilko Ateities viadukas','vaþiuojant pastebëta ','Lentos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-21','16:35'
33,'2017-02-21','16:47','Kojelavièiaus A.V. 138','Pastebëta.','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-21','16:52'
34,'2017-02-21','16:55','Kojelavièiaus A.V. 100','Pastebëta vaþiuojant.','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-21','16:58'
35,'2017-02-21','17:05','Karaliauèiaus 8','BPC','Nulauþtas þenklas pëstieji ties pësèiûjø perëja guli ant ðaligatvio.','UAB" Biseris"  tel.868620381','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-21',''
36,'2017-02-21','17:35','Mileiðiðkiø Virðupio sank.','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,2m3)','','2017-02-21','19:42'
37,'2017-02-21','17:40','Parko g. Buivydiðkës 63','BPC','Vaþiuojamoje gatvës dalyje  gili duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,2m3)','','2017-02-21','19:12'
38,'2017-02-21','18:00','Kirtimø 51','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþoiltos frezuotu asfaltu (0,1m3)','','2017-02-21','18:20'
39,'2017-02-21','18:28','Kirtimø 47D','pastebëta vaþiuojant.','Duobë vaþiuojamoje dalyje.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,05m3)','','2017-02-21','18:32'
40,'2017-02-21','18:30','Virðupio Ðilo-92B','BPC','Duobës vaþiuojamoje dalyje.','El. paðtas D. Baltruðaitienë','Alvydas Biliûnas','Laikinai uþpiltos frezuotu asfaltu (0,2m3)','','2017-02-21','20:15'
41,'2017-02-21','18:40','Graièiûno 6','Pastebëta.','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-21','18:45'
42,'2017-02-21','19:00','Parko Pergalës-19','112','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-21','19:25'
43,'2017-02-21','19:20','Parko 14','Pastebëta.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-21','19:22'
44,'2017-02-21','19:40','Justiniðkiø 79','Policija','Skiremojoje juostoje tvoros fragmentas atitrûkæs.','','Alvydas Biliûnas','Atstatytas á vieta ir sutvirtintas.','','2017-02-21','20:20'
45,'2017-02-21','19:55','Asanavièiûtës L. 29','BPC','Vaþiuojamoje dalyje duþenos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-21','20:25'
46,'2017-02-21','22:05','Naugarduko 26','Policija','Ðiukðliø konteineris iðstumtas ir apverstas  vaþ. dalyje.','','Alvydas Biliûnas','Ðiukðlës surinktos sukrautos á konteinerá. Konteineris atstatytas á vieta.','','2017-02-21','22:32'
47,'2017-02-21','22:40','Pavilnioniø 43','BPC','Vaþiuojamoje dalyje duobë.','El. paðtas Kerista.','Alvydas Biliûnas','Laikinai uþpilta frezuotu asfaltu (0,1m3)','','2017-02-21','23:10'
