'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-02-13',,'Linksmoji Parko 69','pastebëta.','Atviras trapas vaþ. dalyje.','','Alvydas Biliûnas','Uþdëta naujomis metalinëmis grotelëmis.','','2017-02-13','14:25'
22,'2017-02-13','09:40','Motorø 5','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,2m3)','','2017-02-13','10:05'
23,'2017-02-13','09:40','Þirniø 35','vaþiuojant pastebëta.','Maiðas su ðiukðlëmis vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','09:42'
24,'2017-02-13','09:45','Salininkø 142','vaþiuojant pastebëta.','Duobës vaþ. dalyje.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-13','09:50'
25,'2017-02-13','10:10','Dariaus ir Girëno Geologø sank,','pastebëta vaþiuojant ','Duþenos vaþ. dalyje, ','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','10:15'
26,'2017-02-13','10:18','Dobkevièiaus J. 6','vaþiuojant pastebëta.','Gumos gabalas  vaþiuojamoje dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','10:20'
27,'2017-02-13','10:20','Metalo 2','vaþiuojant pastebëta.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,05m3)','','2017-02-13','10:25'
28,'2017-02-13','10:30','Sëliø 39-28','D. Peèkenytë','Suduþo termometras.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13',''
29,'2017-02-13','10:40','Dobkevièiaus J. 6A','pastebëta vaþiuojant.','Nulenktas kelio þenklas.','','Alvydas Biliûnas','Þenklas iðtiesintas atstatytas á vieta.','','2017-02-13','10:55'
30,'2017-02-13','11:00','Narbuto kylant á kalna.','BPC','Þaliojoje vejoje prie ðaligatvio atviras ðulinys.','','Alvydas Biliûnas','Uþdengtas tuo paèiu G/B dangèiu kuris gulëjo nustumtas ðalia.','','2017-02-13','11:23'
31,'2017-02-13','11:00','Kæstuèio 21','','Patikrinta:','','Alvydas Biliûnas','Darbai atlikti laikinas þenklas paimtas, iðveþtas.','','2017-02-13','11:04'
32,'2017-02-13','11:00','Ðiltnamiø 48','','Patikrinta:','','Alvydas Biliûnas','Darbai atlikti laikini þenklai paimti, iðveþti.','','',''
33,'2017-02-13','11:05','Savanoriø þiedas','','Iðvaþiavimas á Laisvës pr. Vaþiuojamoje dalyje ledo gabalai.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-02-13','11:12'
34,'2017-02-13','11:10','Lvovo 19A','BPC','Praviras ðulinys.','','Alvydas Biliûnas','Nuvykus á vieta atviro nei praviro ðulinio nerasta.','','2017-02-13','11:15'
35,'2017-02-13','11:20','Rûdninkø 14-7','Kairytë','Suduþo termometras.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','12:20'
36,'2017-02-13','11:25','Asanavièiûtës 38','pastebëta vaþiuojant','Kartoninës dëþës ant ðaligatvio iðmëtytos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','11:30'
37,'2017-02-13','11:40','Architektø 60','','Vaþiuojamoje dalyje medienos gabalas iðkritæs.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','11:40'
38,'2017-02-13','13:00','Paneriø 45A','BPC','Vaþiuojamoje dalyje kliûtis.','','Alvydas Biliûnas','Kliûtis paðalinta nuo vaþiuojamos dalies buvo iðkritæs gipso kartono gabalas paimtas, iðveþtas.','','2017-02-13','13:30'
39,'2017-02-13','13:05','Batoro St. (Rudens)','BPC','Prie sustojimo atviras ðulinys.','','Alvydas Biliûnas','Uþdengtas tuo paèiu G/B dangèiu kuris gulëjo ðalia.','','2017-02-13','13:45'
40,'2017-02-13','13:35','Drujos Rasø sank.','pastebëta.','Vaþiuojamoje dalyje duþenos.','','Alvydas Biliûnas','Suirinktos, iðveþtos.','','2017-02-13','13:41'
41,'2017-02-13','13:50','Batoro prie kolonëlës.','pastebëta.','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta,','','2017-02-13','13:52'
42,'2017-02-13','13:55','Rasø 9','pastebëta.','Statybinës ðiukðlës iðkritusios ant gatvës vaþ. dalies.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','14:42'
43,'2017-02-13','14:00','Batoro St. (Puèkoriø atodanga)','Pastebëta.','Medþio ðaka vaþ. dalyje. ','','Alvydas Biliûnas','Nutraukta á kelkraðtá.','','2017-02-13','14:03'
44,'2017-02-13','14:00','Virðuliðkiø 85-70','Bagdanavièienë','Suduþo termometras.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','14:50'
45,'2017-02-13','14:15','Parko 13','','Patikrinta:','','Alvydas Biliûnas','Darbai neatlikti laikinas þenklas paliktas.','','2017-02-13','14:17'
46,'2017-02-13','14:20','Pramonës 44','Pastebëta.','Duþenos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','14:30'
47,'2017-02-13','15:00','Dariaus ir Girëno 18','pastebëta.','Vaþiuojamoje dalyje  iðkeltos trapo grotelës.','','Alvydas Biliûnas','Korpusas iðvalytas grotelës ástatytos á vieta.','','2017-02-13','15:06'
48,'2017-02-13','15:40','Lentvario Murinës vokës','El. paðtas. A. Zubkus','Negyvas katinas kelkraðtyje.','','Alvydas Biliûnas','Nuvykus pagal adresà negyvo katino nerasta.','','2017-02-13','16:42'
49,'2017-02-13','16:50','Geleþinio vilko 33','Gaisrininkai','Vaþiuojant link tunelio degë automobilis reikia sutvarkyti vieta.','','Alvydas Biliûnas','Vieta kur degë automobilis sutvarkyta ir pabarstyta smëlio druskos miðiniu. Iðsiliejàs tepalas neutralizuotas sunaudota (20kg) sauso sorbento','','2017-02-13','18:45'
50,'2017-02-13','22:10','Narbuto','BPC','Vaþiuojant link Panoramos vaþiuojamoje dalyje kliûtis.','','Alvydas Biliûnas','Kliûtis paðalinta nuo vaþiuojamos dalies duslintuvo bakelis trukdë eismui.','','2017-02-13','22:35'
51,'2017-02-13','22:40','Sëliø Narbuto sankr.','Pastebëta vaþiuojant.','Statybiniø ðiukðliø maiðas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','22:45'
