'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-01-08','05:40','Gedimino pr. 2','BPC','Netoli banko "Citadele" gulbë ant ðaligatvio.','','Alvydas Biliûnas','Nuvykus á vieta ir priëjus arèiau jos gulbë nuskrido.','','2017-01-08','06:10'
23,'2017-01-08','11:50','Þirmûnø Kareiviø sank.','','Ið ðulinio þaliojoje vejoje teka vanduo.','Vandentiekio avarinë tel. 1889','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-08','11:55'
24,'2017-01-08','12:00','Erfurto 5','BPC','Vaþiuojamoje dalyje kliûtis.','','Alvydas Biliûnas','Kliûtis paðalinta buvo rasta galinio bakelio duslintuvo dalis.','','2017-01-08','12:35'
25,'2017-01-08','13:00','Þirniø Prie Viaduko','BPC','Statybinës ðiukðlës vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-08','13:55'
26,'2017-01-08','13:15','Mechanikø Salininkø sank.','BPC','Atviras ðulinys ðaligatvyje.','','Alvydas Biliûnas','Uþdengtas tuo paèiu G/B dangèiu kuris buvo nustumtas ant þalios vejos.','','2017-01-08','14:40'
27,'2017-01-08','13:30','Geologø Metalo sank.','BPC','vaþiuojamoje dalyje duobës','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-08','14:15'
28,'2017-01-08','13:40','Motorø 4','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu.(0,2m3)','','2017-01-08','14:25'
29,'2017-01-08','13:40','Þemynos 10-88','Ðilinga','Suduþo termometras.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','14:40'
30,'2017-01-08','13:50','Kapsø Pamënkalnio','vaþiuojant pastebëta.','Plastiko duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-08','14:00'
31,'2017-01-08','14:00','Justiniðkiø Taikos sankr.','Policija','Autoávikis','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos vieta iðvalyta.','','2017-01-08','14:25'
32,'2017-01-08','14:05','Panevëþio 21','vaþiuojant pastebëta','Padanga ðaligatvyje.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-01-08','14:05'
33,'2017-01-08','14:12','Zanavykø 9','pastebëta vaþiuojant','Smëlio dëþë iðstumta á vaþiuojamaja dalá.','','Alvydas Biliûnas','Patraukta ant ðaligatvio.','','2017-01-08','14:15'
34,'2017-01-08','14:15','Antakalnio 42','BPC','Praviras ðulinys vaþiuojamoje dalyje.','','Alvydas Biliûnas','Korpusas ðulinio iðvalytas dangtis ástatytas á vieta.','','2017-01-08','15:10'
35,'2017-01-08','14:22','Metalo 16','Pastebëta vaþiuojant','Padanga ðaligatvyje.','','Alvydas Biliûnas','Paimta, iðveþta. (1vnt)','','2017-01-08','14:23'
36,'2017-01-08','14:28','Mechanikø 99','Pastebëta vaþiuojant','Praviras ðulinys vaþ. dalyje.','','Alvydas Biliûnas','Korpusas iðvalytas dangtis ástatytas á vieta laikosi stabiliai.','','2017-01-08','14:32'
37,'2017-01-08','14:47','Kirtimø Lentvario viadukas','vaþiuojant pastebëta.','Lentø atraiþos iðkritusios ant vaþ. dalies.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-08','14:50'
38,'2017-01-08','14:55','Parodø 14','pastebëta vaþiuojant.','Suplëðytos padangos gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-08','15:00'
39,'2017-01-08','15:10','Miðkiniø 21','Pastebëta vaþiuojant','Padanga ðaligatvyje','','Alvydas Biliûnas','Paimta, iðveþta. (1vnt)','','2017-01-08','15:12'
40,'2017-01-08','15:10','Antakalnio 22','pastebëta vaþiuojant','Gipso kartono gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-08','15:20'
41,'2017-01-08','15:30','Goðtauto 40A','pastebëta vaþiuojant','Sulankstytos skardos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','15:33'
42,'2017-01-08','16:35','Kuprijoniðkiø 28','BPC','Ið ðulinio á gatvæ teka fekalijos.','Vandentiekio avarinë tel. 1889 Aurimas.','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-08','16:37'
43,'2017-01-08','18:20','Geleþinio vilko prieð tunelá','vaþiuojant pastebëta','Metalo gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','18:22'
44,'2017-01-08','18:28','Geleþinio vilko Noragiðkiø-1','pastebëta vaþiuojant.','Automobilio ratlankis vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','18:30'
45,'2017-01-08','18:35','Mokslininkø 3','BPC','Duobë vaþiuojamoje dalyje.','','Alvydas Biliûnas','Uþpilta smëlio skaldos miðiniu (0,1m3)','','2017-01-08','18:38'
46,'2017-01-08','18:38','Ozo po viaduku','vaþiuojant pastebëta','Automobilio bamperio gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','18:41'
47,'2017-01-08','18:45','Ozo prie mokyklos','pastebëta vaþiuojant','Ledo gabalas vaþ. dalyje.','','Alvydas Biliûnas','Nustumtas ant þalios vejos.','','2017-01-08','18:47'
48,'2017-01-08','20:00','Taikos 263F','BPC','Ið ðulinio á gatvæ teka vanduo','Vandentiekio avarinë tel.1889 Lukoðiûnienë','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-08','20:03'
49,'2017-01-08','20:05','Geleþinio vilko tunelyje','BPC','Tunelyje vaþiuojamos dalies susiformavæs ledo gabalas.','','Alvydas Biliûnas','Ledo gabalas nudauþytas, iðveþtas.','','2017-01-08','20:45'
