'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
16,'2017-03-28','14:50','Gudø 5','BPC','Vaþ dalyje duobë','VV av. disp. Aurimui tel. 861611256 ','Vytautas Andruðkevièius','Ágriuva prie FN ðulinio. Pastatyta vertikali gairë. Info perduota ','','2017-03-28','15:25'
17,'2017-03-28','14:55','Drujos 2','BPC','Vaþ dalyje betono gabalai ','','Vytautas Andruðkevièius','Plytø lauþas surinktas, iðveþtas','','2017-03-28','15:35'
18,'2017-03-28','15:10','Ukmergës 246','Pastebëta vaþiuojant','VVtr. eismo juostoje tepalo dëmë','','Vytautas Andruðkevièius','Sunaudojus 5kg. sauso sorbento tepalai surinkti','','2017-03-28','15:15'
19,'2017-03-28','15:20','Ðeðkinës 59','Pastebëta vaþiuojant','Vaþ. dalyje duobë','El. paðtu UAB "Kerista"','Vytautas Andruðkevièius','Avrinë (0,9x04x0,08) duobë uþtaisyta skaldos - smëlio miðiniu. Sunaudota po 0,015m3. Info perduota','','2017-03-28','15:25'
20,'2017-03-28','15:35','Èiobiðkio 5','Pastebëta vaþiuojant','Vaþ dalyje medþio ðaka','','Vytautas Andruðkevièius','Patraukta prie kitø á þeldiniø zonà prie nugenëtø medþiø.','','2017-03-28','15:40'
21,'2017-03-28','15:40','Subaèiaus 80','Pastebëta vaþiuojant ','Uþneðtas LN trapas','','Vytautas Andruðkevièius','Ið LN trapo groteliø iðvalytos sànaðos iðveþtos ','','2017-03-28','15:45'
22,'2017-03-28','15:44','Buivydiðkiø 20','Pastebëta vaþiuojant','Padanga þeldiniø zonoje','','Vytautas Andruðkevièius','Paimta , iðveþta','','2017-03-28','15:46'
23,'2017-03-28','15:50','Kauno 1A','Pastebëta vaþiuojant','Iðvaþiavime ið Raugyklos g. ið duobës iðtaðkyta skalda','','Vytautas Andruðkevièius','Skalda suðluota atgal á duobæ','','2017-03-28','16:00'
24,'2017-03-28','16:00','Vytauto sankr.','Pastebëta vaþiuojant','Vaþ .dalyje rato gaubtas','','Vytautas Andruðkevièius','Paimtas,  iðveþtas','','2017-03-28','16:50'
25,'2017-03-28','16:10','Jasinskio J. 16B','Pastebëta vaþiuojant','Automobilio iðmetamø dujø sistemos bakelis vaþ .dalyje','','Vytautas Andruðkevièius','Paimtas, iðveþtas','','2017-03-28','16:13'
26,'2017-03-28','18:45','Þaliøjø eþerø 3','BPC','Kieme katino gaiðena','','Vytautas Andruðkevièius','Paimta, iðveþta á BGST','','2017-03-28','19:25'
27,'2017-03-28','18:48','Savanoriø þied. sankr.','Pastebëta vaþiuojant','Vaþ. dalyje ðukës ','','Vytautas Andruðkevièius','Surinktos, iðveþtos','','2017-03-28','18:55'
28,'2017-03-28','18:50','Gariûnø sankr.','Pastebëta vaþiuojant','Vaþ.  dalyje plastiko nuolauþos ','','Vytautas Andruðkevièius','Surinktos, iðveþtos','','2017-03-28','18:55'
29,'2017-03-28','19:00','Lentvario 16','Pastebëta vaþiuojant ','Vaþ dalyje betono trinkeliø  lauþas','','Vytautas Andruðkevièius','Surinktas, iðveþtas','','2017-03-28','19:05'
30,'2017-03-28','19:08','Marcinkevièiaus M. 19','Pastebëta vaþiuojant','Vaþ. dalyje GK plokðtës gabalai','','Vytautas Andruðkevièius','Surinkti,  iðveþti','','2017-03-28','19:15'
31,'2017-03-28','19:10','Þarijø 8','Pastebëta vaþiuojant','Þeldiniø zonoje atviras ðulinys','','Vytautas Andruðkevièius','Uþdengtas nauju gb. dangèiu','','2017-03-28','19:15'
32,'2017-03-28','19:25','Galvës VVtr. Vilijos st.','Pastebëta vaþiuojant','Stotelës vaþ dalyje padanga','','Vytautas Andruðkevièius','Paimta, iðveþta','','2017-03-28','19:30'
33,'2017-03-28','19:35','Savanoriø sankr.','Pastebëta vaþiuojant','Vaþ dalyje medienos nuolauþos','','Vytautas Andruðkevièius','Surinktos, iðveþtos','','2017-03-28','19:40'
34,'2017-03-28','19:40','Ukmergës 315B','Pastebëta vaþiuojant','Automobiliø stovëjimo aikðtelëje kuro dëmës','','Vytautas Andruðkevièius','Sunaudojus 2ltr.skysto sorbento kuras neutralizuotas.','','2017-03-28','19:50'
35,'2017-03-28','20:00','Oslo 11','Pastebëta vaþiuojant','Atviras LN trapas vaþ. dalyje','','Vytautas Andruðkevièius','Uþdëtos naujos LN trapo grotelës','','2017-03-28','20:05'
