Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
20,2016/03/12,15:15,Metalo/Geologų g. sankryža,,Važiuojamoje gatvės dalyje pastebėtas rato gaubtas.,Taro gaubtas paimtas ir išvežtas.,2016/03/12,15:19
21,2016/03/12,15:34,"Verkių g. (Prie autobusų parko, prie žiedo)",BPC,Avarinė duobė važiuojamoje gatvės dalyje.,"3 duobės laikinai užtaisytos frezuotu asfaltu. Sunaudota 0,15m³. Informacija perduota.",,
22,2016/03/12,15:43,Didžioji g. 15,VMS viešasis skyrius,Išmėtytos buitinės šiukšlės.,Šiukšlės surinktos ir išvežtos. ,2016/03/12,16:03
23,2016/03/12,16:07,Viršuliškių g. 34,VPK,"Nulenktas kelio ženklas ,,Pėsčiųjų perėja"".",Ženklas ištiesintas.,2016/03/12,16:30
24,2016/03/12,16:23,Kalvarijų g. 150,BPC,Atviras šulinys žalioje vejoje.,FN šulinys. Uždengtas tuo pačiu dangčiu.,2016/03/12,16:49
25,2016/03/12,16:42,Tel. 861423566,Policijos ekipažas,Atviras LN trapas važiuojamoje gatvės dalyje.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/03/12,17:11
26,2016/03/12,17:05,"Nemenčinės pl. (Nedavažiavus ,,Norfos"" parduotuvės į miesto pusę)",VPK,Negva stirna. Autoįvykis.,Stirna paimta ir nuvežta į BGKT.,2016/03/12,17:45
27,2016/03/12,17:11,Didlaukio g. 51,,Nulūžusi medžio šaka važiuojamoje gatvės dalyje.,Medžio šakas paimta ir išvežta.,2016/03/12,17:40
28,2016/03/12,17:37,Šeškinės g. 11,BPC,Metalinis bakelis važiuojamoje gatvės dalyje.,Duslintuvo bakelis paimtas ir išvežtas.,2016/03/12,18:05
29,2016/03/12,18:03,"Popieriaus g.
(Leidžiantis nuo kalno)",VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/12,18:37
30,2016/03/12,18:50,Santariškių žiedas,,Žalioje vejoje pastebėtos bamperio nuolaužos.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/12,19:00
31,2016/03/12,19:04,"Centrinių Vilniaus gatvių apvažiavimas
UAB „Grinda“ direktoriaus įsakymas
 Nr. V 269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais.,Gatvės patikrintos. Surinkti 3 maišai šiukšlių.,2016/03/12,19:44
32,2016/03/12,19:15,Kalvarijų g. 230,Policijos ekipažas,Atviras šulinys žalioje vejoje.,VV šulinys. Uždengtas tuo pačiu dangčiu.,2016/03/12,19:50
33,2016/03/12,19:57,Kalvarijų/Ozo g. sankryža,,Važiuojamoje gatvės dalyje pastebėtos plastmasinės nuolaužos.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/12,20:07
